product,apple,amazon,adorama,macmall,bestbuy,b_and_h,date
"Mac Pro (Late 2013): 3.0 GHz 8-Core, 16 GB RAM, 256 GB",3999.0,3899.0,3899.0,,3999.99,3899.0,08/26/2018
"Mac Pro (Late 2013): 3.5 GHz 6-Core, 16 GB RAM, 256 GB",2999.0,,2899.0,,2799.99,2799.0,08/26/2018
Apple TV (4th Gen): 32 GB,149.0,,,,149.99,,08/26/2018
Apple TV 4K (2017): 32 GB,179.0,,179.0,169.99,179.99,169.99,08/26/2018
Apple TV 4K (2017): 64 GB,199.0,,189.0,189.0,199.99,189.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Gold",929.0,,929.0,899.0,929.99,899.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Rose Gold",929.0,,929.0,929.0,929.99,929.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Silver",929.0,,929.0,958.99,929.99,899.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",929.0,,899.0,939.0,929.99,899.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Gold",1129.0,,1129.0,1124.0,1129.99,929.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Rose Gold",1129.0,,1129.0,1124.0,1129.99,929.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Silver",1129.0,,1129.0,1124.0,1129.99,1029.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",1129.0,,1129.0,1124.0,1129.99,1129.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Gold",779.0,,779.0,774.0,779.99,779.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Rose Gold",779.0,,779.0,803.99,779.99,719.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Silver",779.0,,779.0,774.0,779.99,729.0,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",779.0,,779.0,774.0,779.99,774.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",799.0,,799.0,769.0,799.99,769.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Rose Gold",799.0,,799.0,824.99,799.99,779.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",799.0,,799.0,807.99,799.99,749.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",799.0,,799.0,794.0,799.99,769.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",999.0,,899.0,949.0,999.99,849.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Rose Gold",999.0,,999.0,994.0,999.99,929.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",999.0,,999.0,949.0,999.99,949.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",999.0,,999.0,969.0,999.99,969.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",649.0,,649.0,644.0,649.99,629.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Rose Gold",649.0,,649.0,644.0,649.99,649.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",649.0,,649.0,629.0,649.99,629.0,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",649.0,,649.0,629.0,649.99,629.0,08/26/2018
