adorama,amazon,apple,b_and_h,bestbuy,macmall,product,date
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",949.00,N/A,949.00,929.00,949.99,919.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",1149.00,N/A,1149.00,1119.00,1149.99,1149.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",1149.00,N/A,1149.00,1119.00,1149.99,1149.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",1149.00,N/A,1149.00,1145.00,1149.99,1149.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",799.00,N/A,799.00,807.99,799.99,799.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",799.00,N/A,799.00,794.00,799.99,794.00,#m/#d/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",799.00,N/A,799.00,794.00,799.99,799.00,#m/#d/2018
12.9-inch iPad Pro Smart Keyboard,169.00,N/A,N/A,N/A,169.99,169.00,#m/#d/2018
Apple Pencil,99.00,N/A,99.00,99.00,94.99,94.88,#m/#d/2018
iPad (2017): Cellular 128 GB - Gold,559.00,429.00,N/A,N/A,559.99,N/A,#m/#d/2018
iPad (2017): Cellular 128 GB - Silver,559.00,N/A,N/A,449.00,N/A,N/A,#m/#d/2018
iPad (2017): Cellular 128 GB - Space Gray,559.00,434.92,N/A,559.00,N/A,N/A,#m/#d/2018
iPad (2017): Cellular 32 GB - Gold,459.00,399.00,N/A,N/A,N/A,N/A,#m/#d/2018
iPad (2017): Cellular 32 GB - Silver,459.00,409.99,N/A,N/A,N/A,N/A,#m/#d/2018
iPad (2017): Cellular 32 GB - Space Gray,459.00,403.81,N/A,N/A,N/A,N/A,#m/#d/2018
iPad (2017): Wi-Fi 128 GB - Gold,429.00,N/A,399.00,429.00,408.99,379.00,#m/#d/2018
iPad (2017): Wi-Fi 128 GB - Silver,429.00,N/A,N/A,N/A,N/A,N/A,#m/#d/2018
iPad (2017): Wi-Fi 128 GB - Space Gray,429.00,405.00,N/A,N/A,257.99,N/A,#m/#d/2018
iPad (2017): Wi-Fi 32 GB - Gold,329.00,315.91,319.00,N/A,197.99,N/A,#m/#d/2018
iPad (2017): Wi-Fi 32 GB - Silver,329.00,311.66,319.00,N/A,296.99,N/A,#m/#d/2018
iPad (2017): Wi-Fi 32 GB - Space Gray,329.00,317.01,329.00,N/A,N/A,N/A,#m/#d/2018
iPad (2018): Cellular 128 GB - Gold,559.00,N/A,559.00,559.00,559.99,559.00,#m/#d/2018
iPad (2018): Cellular 128 GB - Silver,559.00,N/A,559.00,559.00,559.99,559.00,#m/#d/2018
iPad (2018): Cellular 128 GB - Space Gray,559.00,N/A,559.00,559.00,559.99,559.00,#m/#d/2018
iPad (2018): Cellular 32 GB - Gold,459.00,N/A,459.00,459.00,459.99,449.00,#m/#d/2018
iPad (2018): Cellular 32 GB - Silver,459.00,N/A,459.00,459.00,459.99,459.00,#m/#d/2018
iPad (2018): Cellular 32 GB - Space Gray,459.00,N/A,459.00,459.00,459.99,449.00,#m/#d/2018
iPad (2018): Wi-Fi 128 GB - Gold,429.00,N/A,429.00,429.00,429.99,429.00,#m/#d/2018
iPad (2018): Wi-Fi 128 GB - Silver,429.00,N/A,429.00,429.00,429.99,429.00,#m/#d/2018
iPad (2018): Wi-Fi 128 GB - Space Gray,429.00,N/A,419.00,429.00,429.99,419.00,#m/#d/2018
iPad (2018): Wi-Fi 32 GB - Gold,329.00,N/A,329.00,329.00,329.99,329.00,#m/#d/2018
iPad (2018): Wi-Fi 32 GB - Silver,329.00,N/A,329.00,329.00,329.99,329.00,#m/#d/2018
iPad (2018): Wi-Fi 32 GB - Space Gray,329.00,N/A,324.00,329.00,329.99,324.00,#m/#d/2018
iPad mini 4 Cellular Gold 128GB,529.00,N/A,519.00,529.00,529.99,519.00,#m/#d/2018
iPad mini 4 Cellular Silver 128GB,529.00,N/A,519.00,529.00,529.99,529.00,#m/#d/2018
iPad mini 4 Cellular Space Gray 128GB,529.00,N/A,519.00,529.00,529.99,529.00,#m/#d/2018
iPad mini 4 Wi-Fi Gold 128GB,399.00,N/A,389.00,399.00,399.99,389.00,#m/#d/2018
iPad mini 4 Wi-Fi Silver 128GB,399.00,335.48,389.00,399.00,399.99,389.00,#m/#d/2018
iPad mini 4 Wi-Fi Space Gray 128GB,399.00,N/A,389.00,409.00,399.99,389.00,#m/#d/2018
AirPods,159.00,144.98,144.99,N/A,159.99,159.00,#m/#d/2018
HomePod - Space Gray,349.00,N/A,N/A,N/A,349.99,349.00,#m/#d/2018
HomePod - White,349.00,N/A,N/A,N/A,349.99,349.00,#m/#d/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Gold",1299.00,N/A,1249.00,1319.99,1199.99,1149.00,08/26/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Rose Gold",1299.00,N/A,1249.00,1319.99,1199.99,1199.00,08/26/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Silver",1299.00,N/A,1199.00,1319.99,1199.99,1199.00,08/26/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Space Gray",1299.00,N/A,1229.00,1319.99,1199.99,1149.00,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Gold",1599.00,N/A,1549.00,N/A,1499.99,1479.00,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Rose Gold",1599.00,N/A,1509.00,1619.99,1499.99,1499.00,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Silver",1599.00,N/A,1549.00,1619.99,1499.99,1399.00,08/26/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Space Gray",1599.00,1541.03,1549.00,1619.99,1499.99,1479.00,08/26/2018
"13-inch MacBook Air (Mid 2017): 1.8 GHz, 128 GB",999.00,N/A,899.00,999.00,899.99,829.00,08/26/2018
"13-inch MacBook Air (Mid 2017): 1.8 GHz, 256 GB",1199.00,N/A,1149.00,1149.00,1099.99,999.00,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Silver",1299.00,N/A,1199.00,1279.00,1199.99,1199.00,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Space Gray",1299.00,N/A,1199.00,N/A,1199.99,1099.00,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",1499.00,N/A,1449.00,1494.00,1399.99,1399.00,08/26/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1499.00,N/A,1399.00,1449.00,1399.99,1349.00,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Silver",1799.00,N/A,1649.00,1799.99,1599.99,N/A,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1799.00,1589.99,1549.00,1729.00,1599.99,N/A,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Silver",1999.00,N/A,1799.00,1999.99,1799.99,N/A,08/26/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Space Gray",1999.00,1879.00,1899.00,N/A,1799.99,1599.00,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",1799.00,N/A,1699.00,1729.00,1699.99,1699.00,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1799.00,N/A,1699.00,N/A,1699.99,1699.00,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 512 GB SSD - Silver",1999.00,N/A,1899.00,N/A,1899.99,1899.00,08/26/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 512 GB SSD - Space Gray",1999.00,N/A,1899.00,1929.00,1899.99,1899.00,08/26/2018
"15-inch MacBook Pro (Mid 2015): 2.2 GHz, 16 GB RAM, 256 GB",1999.00,N/A,N/A,1899.00,1699.99,N/A,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Silver",2399.00,N/A,2349.00,N/A,2099.99,N/A,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Space Gray",2399.00,N/A,2349.00,2349.99,2099.99,N/A,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Silver",2799.00,2498.90,2599.00,2739.99,2499.99,2499.00,08/26/2018
"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Space Gray",2799.00,N/A,2499.00,N/A,2499.99,2499.00,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.2 GHz, 16 GB RAM, 256 GB SSD - Silver",2399.00,N/A,2249.00,N/A,2299.99,2249.00,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.2 GHz, 16 GB RAM, 256 GB SSD - Space Gray",2399.00,N/A,2249.00,N/A,2299.99,2249.00,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.6 GHz, 16 GB RAM, 512 GB SSD - Silver",2799.00,N/A,2649.00,N/A,2699.99,2649.00,08/26/2018
"15-inch MacBook Pro (Mid 2018): 2.6 GHz, 16 GB RAM, 512 GB SSD - Space Gray",2799.00,N/A,2649.00,2649.00,2699.99,2649.00,08/26/2018
"21.5-inch iMac (Mid 2017): 2.3 GHz, 8 GB RAM, 1 TB",1099.00,1089.00,999.00,1094.00,1099.99,949.00,08/26/2018
"21.5-inch Retina iMac (Mid 2017): 3.0 GHz, 8 GB RAM, 1 TB",1299.00,1279.00,1249.00,1249.00,1299.99,1149.00,08/26/2018
"21.5-inch Retina iMac (Mid 2017): 3.4 GHz, 8 GB RAM, 1 TB Fusion",1499.00,1479.00,1419.00,1494.00,1499.99,1349.00,08/26/2018
"27-inch Retina iMac (Mid 2017): 3.4 GHz, 8 GB RAM, 1 TB Fusion",1799.00,1749.00,1649.00,1849.00,1799.99,1649.00,08/26/2018
"27-inch Retina iMac (Mid 2017): 3.5 GHz, 8 GB RAM, 1 TB Fusion",1999.00,N/A,1949.00,1969.00,1999.99,1799.00,08/26/2018
"27-inch Retina iMac (Mid 2017): 3.8 GHz, 8 GB RAM, 2 TB Fusion",2299.00,2279.00,2199.00,2329.99,2299.99,2099.00,08/26/2018
"iMac Pro (Late 2017): 3.2 GHz 8-Core, Vega 56 GPU, 32 GB RAM, 1 TB SSD",4999.00,4899.00,4699.00,N/A,4999.99,4599.00,08/26/2018
"Mac mini (Late 2014): 1.4 GHz, 4 GB RAM, 500 GB",499.00,N/A,479.00,494.00,499.99,399.00,08/26/2018
"Mac mini (Late 2014): 2.6 GHz, 8 GB RAM, 1 TB",699.00,N/A,679.00,679.00,699.99,599.00,08/26/2018
"Mac mini (Late 2014): 2.8 GHz, 8 GB RAM, 1 TB Fusion",999.00,969.00,949.00,N/A,N/A,919.00,08/26/2018
"Mac Pro (Late 2013): 3.0 GHz 8-Core, 16 GB RAM, 256 GB",3999.00,3899.00,3899.00,N/A,3999.99,3899.00,08/26/2018
"Mac Pro (Late 2013): 3.5 GHz 6-Core, 16 GB RAM, 256 GB",2999.00,N/A,2899.00,N/A,2799.99,2799.00,08/26/2018
Apple TV (4th Gen): 32 GB,149.00,N/A,N/A,N/A,149.99,N/A,08/26/2018
Apple TV 4K (2017): 32 GB,179.00,N/A,179.00,169.99,179.99,169.99,08/26/2018
Apple TV 4K (2017): 64 GB,199.00,N/A,189.00,189.00,199.99,189.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Gold",929.00,N/A,929.00,899.00,929.99,899.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Rose Gold",929.00,N/A,929.00,929.00,929.99,929.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Silver",929.00,N/A,929.00,958.99,929.99,899.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",929.00,N/A,899.00,939.00,929.99,899.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Gold",1129.00,N/A,1129.00,1124.00,1129.99,929.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Rose Gold",1129.00,N/A,1129.00,1124.00,1129.99,929.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Silver",1129.00,N/A,1129.00,1124.00,1129.99,1029.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",1129.00,N/A,1129.00,1124.00,1129.99,1129.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Gold",779.00,N/A,779.00,774.00,779.99,779.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Rose Gold",779.00,N/A,779.00,803.99,779.99,719.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Silver",779.00,N/A,779.00,774.00,779.99,729.00,08/26/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",779.00,N/A,779.00,774.00,779.99,774.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",799.00,N/A,799.00,769.00,799.99,769.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Rose Gold",799.00,N/A,799.00,824.99,799.99,779.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",799.00,N/A,799.00,807.99,799.99,749.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",799.00,N/A,799.00,794.00,799.99,769.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",999.00,N/A,899.00,949.00,999.99,849.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Rose Gold",999.00,N/A,999.00,994.00,999.99,929.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",999.00,N/A,999.00,949.00,999.99,949.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",999.00,N/A,999.00,969.00,999.99,969.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",649.00,N/A,649.00,644.00,649.99,629.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Rose Gold",649.00,N/A,649.00,644.00,649.99,649.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",649.00,N/A,649.00,629.00,649.99,629.00,08/26/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",649.00,N/A,649.00,629.00,649.99,629.00,08/26/2018
10.5-inch iPad Pro Smart Keyboard,159.00,N/A,149.99,N/A,152.99,149.99,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Gold",1079.00,N/A,1079.00,1119.99,1079.99,1079.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Silver",1079.00,N/A,1079.00,1119.99,1079.99,1079.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",1079.00,N/A,1079.00,1049.00,1079.99,1049.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Gold",1279.00,N/A,1279.00,1274.00,1279.99,1279.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Silver",1279.00,N/A,1279.00,1229.00,1279.99,1274.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",1279.00,N/A,1279.00,1274.00,1279.99,1229.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Gold",929.00,N/A,929.00,924.00,929.99,924.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Silver",929.00,N/A,929.00,924.00,929.99,929.00,08/26/2018
"12.9-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",929.00,N/A,929.00,924.00,929.99,879.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",949.00,N/A,949.00,944.00,949.99,929.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",949.00,N/A,949.00,944.00,949.99,929.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",949.00,N/A,949.00,929.00,949.99,919.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",1149.00,N/A,1149.00,1119.00,1149.99,1149.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",1149.00,N/A,1149.00,1119.00,1149.99,1149.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",1149.00,N/A,1149.00,1145.00,1149.99,1149.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",799.00,N/A,799.00,807.99,799.99,799.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",799.00,N/A,799.00,794.00,799.99,794.00,08/26/2018
"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",799.00,N/A,799.00,794.00,799.99,799.00,08/26/2018
12.9-inch iPad Pro Smart Keyboard,169.00,N/A,N/A,N/A,169.99,169.00,08/26/2018
Apple Pencil,99.00,N/A,99.00,99.00,94.99,94.88,08/26/2018
iPad (2017): Cellular 128 GB - Gold,559.00,429.00,N/A,N/A,559.99,N/A,08/26/2018
iPad (2017): Cellular 128 GB - Silver,559.00,N/A,N/A,449.00,N/A,N/A,08/26/2018
iPad (2017): Cellular 128 GB - Space Gray,559.00,434.92,N/A,559.00,N/A,N/A,08/26/2018
iPad (2017): Cellular 32 GB - Gold,459.00,399.00,N/A,N/A,N/A,N/A,08/26/2018
iPad (2017): Cellular 32 GB - Silver,459.00,409.99,N/A,N/A,N/A,N/A,08/26/2018
iPad (2017): Cellular 32 GB - Space Gray,459.00,403.81,N/A,N/A,N/A,N/A,08/26/2018
iPad (2017): Wi-Fi 128 GB - Gold,429.00,N/A,399.00,429.00,408.99,379.00,08/26/2018
iPad (2017): Wi-Fi 128 GB - Silver,429.00,N/A,N/A,N/A,N/A,N/A,08/26/2018
iPad (2017): Wi-Fi 128 GB - Space Gray,429.00,405.00,N/A,N/A,257.99,N/A,08/26/2018
iPad (2017): Wi-Fi 32 GB - Gold,329.00,315.91,319.00,N/A,197.99,N/A,08/26/2018
iPad (2017): Wi-Fi 32 GB - Silver,329.00,311.66,319.00,N/A,296.99,N/A,08/26/2018
iPad (2017): Wi-Fi 32 GB - Space Gray,329.00,317.01,329.00,N/A,N/A,N/A,08/26/2018
iPad (2018): Cellular 128 GB - Gold,559.00,N/A,559.00,559.00,559.99,559.00,08/26/2018
iPad (2018): Cellular 128 GB - Silver,559.00,N/A,559.00,559.00,559.99,559.00,08/26/2018
iPad (2018): Cellular 128 GB - Space Gray,559.00,N/A,559.00,559.00,559.99,559.00,08/26/2018
iPad (2018): Cellular 32 GB - Gold,459.00,N/A,459.00,459.00,459.99,449.00,08/26/2018
iPad (2018): Cellular 32 GB - Silver,459.00,N/A,459.00,459.00,459.99,459.00,08/26/2018
iPad (2018): Cellular 32 GB - Space Gray,459.00,N/A,459.00,459.00,459.99,449.00,08/26/2018
iPad (2018): Wi-Fi 128 GB - Gold,429.00,N/A,429.00,429.00,429.99,429.00,08/26/2018
iPad (2018): Wi-Fi 128 GB - Silver,429.00,N/A,429.00,429.00,429.99,429.00,08/26/2018
iPad (2018): Wi-Fi 128 GB - Space Gray,429.00,N/A,419.00,429.00,429.99,419.00,08/26/2018
iPad (2018): Wi-Fi 32 GB - Gold,329.00,N/A,329.00,329.00,329.99,329.00,08/26/2018
iPad (2018): Wi-Fi 32 GB - Silver,329.00,N/A,329.00,329.00,329.99,329.00,08/26/2018
iPad (2018): Wi-Fi 32 GB - Space Gray,329.00,N/A,324.00,329.00,329.99,324.00,08/26/2018
iPad mini 4 Cellular Gold 128GB,529.00,N/A,519.00,529.00,529.99,519.00,08/26/2018
iPad mini 4 Cellular Silver 128GB,529.00,N/A,519.00,529.00,529.99,529.00,08/26/2018
iPad mini 4 Cellular Space Gray 128GB,529.00,N/A,519.00,529.00,529.99,529.00,08/26/2018
iPad mini 4 Wi-Fi Gold 128GB,399.00,N/A,389.00,399.00,399.99,389.00,08/26/2018
iPad mini 4 Wi-Fi Silver 128GB,399.00,335.48,389.00,399.00,399.99,389.00,08/26/2018
iPad mini 4 Wi-Fi Space Gray 128GB,399.00,N/A,389.00,409.00,399.99,389.00,08/26/2018
AirPods,159.00,144.98,144.99,N/A,159.99,159.00,08/26/2018
HomePod - Space Gray,349.00,N/A,N/A,N/A,349.99,349.00,08/26/2018
HomePod - White,349.00,N/A,N/A,N/A,349.99,349.00,08/26/2018
