adorama,amazon,apple,b_and_h,bestbuy,macmall,product,date
929.00,N/A,929.00,879.00,929.99,809.00,"10.5-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",5/16/2018
1129.00,N/A,1129.00,1029.00,1129.99,999.00,"10.5-inch iPad Pro (2017): Cellular, 512 GB - Gold",5/16/2018
1129.00,N/A,1129.00,999.00,1129.99,999.00,"10.5-inch iPad Pro (2017): Cellular, 512 GB - Rose Gold",5/16/2018
1129.00,N/A,1129.00,1029.00,1129.99,1169.99,"10.5-inch iPad Pro (2017): Cellular, 512 GB - Silver",5/16/2018
1129.00,N/A,1129.00,1049.00,1129.99,999.00,"10.5-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",5/16/2018
779.00,N/A,779.00,769.00,779.99,659.00,"10.5-inch iPad Pro (2017): Cellular, 64 GB - Gold",5/16/2018
779.00,N/A,779.00,779.00,779.99,659.00,"10.5-inch iPad Pro (2017): Cellular, 64 GB - Rose Gold",5/16/2018
779.00,N/A,779.00,749.00,779.99,779.00,"10.5-inch iPad Pro (2017): Cellular, 64 GB - Silver",5/16/2018
779.00,N/A,779.00,749.00,779.99,787.99,"10.5-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",5/16/2018
799.00,N/A,799.00,769.00,799.99,769.00,"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",5/16/2018
799.00,N/A,799.00,779.00,799.99,749.00,"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Rose Gold",5/16/2018
799.00,N/A,799.00,749.00,799.99,749.00,"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",5/16/2018
799.00,N/A,799.00,769.00,799.99,749.00,"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",5/16/2018
999.00,N/A,999.00,899.00,999.99,949.00,"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",5/16/2018
999.00,N/A,999.00,999.00,999.99,879.00,"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Rose Gold",5/16/2018
999.00,N/A,999.00,929.00,999.99,879.00,"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",5/16/2018
999.00,N/A,999.00,949.00,999.99,969.00,"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",5/16/2018
629.00,N/A,649.00,629.00,649.99,589.00,"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",5/16/2018
629.00,N/A,649.00,629.00,649.99,589.00,"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Rose Gold",5/16/2018
629.00,N/A,649.00,629.00,649.99,656.99,"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",5/16/2018
629.00,N/A,649.00,629.00,649.99,629.00,"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",5/16/2018
159.00,143.00,159.00,159.00,159.99,N/A,10.5-inch iPad Pro Smart Keyboard,5/16/2018
1079.00,N/A,1079.00,1029.00,1079.99,969.00,"12.9-inch iPad Pro (2017): Cellular, 256 GB - Gold",5/16/2018
999.00,N/A,1079.00,999.00,1079.99,969.00,"12.9-inch iPad Pro (2017): Cellular, 256 GB - Silver",5/16/2018
1079.00,N/A,1079.00,1049.00,1079.99,1049.00,"12.9-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",5/16/2018
1279.00,N/A,1279.00,1199.00,1279.99,1079.00,"12.9-inch iPad Pro (2017): Cellular, 512 GB - Gold",5/16/2018
1279.00,N/A,1279.00,1229.00,1279.99,1229.00,"12.9-inch iPad Pro (2017): Cellular, 512 GB - Silver",5/16/2018
1279.00,N/A,1279.00,1199.00,1279.99,1274.00,"12.9-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",5/16/2018
929.00,N/A,929.00,899.00,929.99,851.99,"12.9-inch iPad Pro (2017): Cellular, 64 GB - Gold",5/16/2018
929.00,N/A,929.00,879.00,929.99,958.99,"12.9-inch iPad Pro (2017): Cellular, 64 GB - Silver",5/16/2018
929.00,N/A,929.00,879.00,929.99,924.00,"12.9-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",5/16/2018
899.00,N/A,949.00,899.00,949.99,849.00,"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",5/16/2018
899.00,N/A,949.00,899.00,949.99,944.00,"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",5/16/2018
899.00,N/A,949.00,899.00,949.99,929.00,"12.9-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",5/16/2018
1149.00,N/A,1149.00,1099.00,1149.99,1119.00,"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",5/16/2018
1149.00,N/A,1149.00,1094.00,1149.99,1119.00,"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",5/16/2018
1149.00,N/A,1149.00,1119.00,1149.99,1119.00,"12.9-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",5/16/2018
769.00,N/A,799.00,769.00,799.99,749.00,"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",5/16/2018
759.00,N/A,799.00,759.00,799.99,794.00,"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Silver",5/16/2018
769.00,N/A,799.00,769.00,799.99,807.99,"12.9-inch iPad Pro (2017): Wi-Fi, 64 GB - Space Gray",5/16/2018
N/A,N/A,169.00,159.00,169.99,N/A,12.9-inch iPad Pro Smart Keyboard,5/16/2018
99.00,N/A,99.00,99.99,99.99,95.00,Apple Pencil,5/16/2018
N/A,585.99,559.00,N/A,559.99,499.00,iPad (2017): Cellular 128 GB - Gold,5/16/2018
N/A,N/A,559.00,N/A,N/A,499.00,iPad (2017): Cellular 128 GB - Silver,5/16/2018
N/A,591.99,559.00,N/A,N/A,N/A,iPad (2017): Cellular 128 GB - Space Gray,5/16/2018
N/A,479.00,459.00,N/A,N/A,N/A,iPad (2017): Cellular 32 GB - Gold,5/16/2018
459.00,456.99,459.00,N/A,N/A,N/A,iPad (2017): Cellular 32 GB - Silver,5/16/2018
N/A,424.33,459.00,449.00,N/A,N/A,iPad (2017): Cellular 32 GB - Space Gray,5/16/2018
399.00,365.92,429.00,409.00,408.99,409.00,iPad (2017): Wi-Fi 128 GB - Gold,5/16/2018
399.00,N/A,429.00,N/A,408.99,409.00,iPad (2017): Wi-Fi 128 GB - Silver,5/16/2018
399.00,N/A,429.00,N/A,N/A,N/A,iPad (2017): Wi-Fi 128 GB - Space Gray,5/16/2018
299.00,N/A,329.00,329.00,313.99,N/A,iPad (2017): Wi-Fi 32 GB - Gold,5/16/2018
299.00,281.80,329.00,294.00,N/A,N/A,iPad (2017): Wi-Fi 32 GB - Silver,5/16/2018
299.00,281.89,329.00,294.95,313.99,319.00,iPad (2017): Wi-Fi 32 GB - Space Gray,5/16/2018
559.00,N/A,559.00,559.00,559.99,559.00,iPad (2018): Cellular 128 GB - Gold,5/16/2018
559.00,N/A,559.00,559.00,559.99,559.00,iPad (2018): Cellular 128 GB - Silver,5/16/2018
559.00,N/A,559.00,559.00,559.99,559.00,iPad (2018): Cellular 128 GB - Space Gray,5/16/2018
459.00,N/A,459.00,459.00,459.99,459.00,iPad (2018): Cellular 32 GB - Gold,5/16/2018
459.00,N/A,459.00,459.00,459.99,459.00,iPad (2018): Cellular 32 GB - Silver,5/16/2018
459.00,N/A,459.00,459.00,459.99,N/A,iPad (2018): Cellular 32 GB - Space Gray,5/16/2018
429.00,N/A,429.00,429.00,399.99,429.00,iPad (2018): Wi-Fi 128 GB - Gold,5/16/2018
429.00,N/A,429.00,429.00,399.99,429.00,iPad (2018): Wi-Fi 128 GB - Silver,5/16/2018
429.00,N/A,429.00,429.00,399.99,429.00,iPad (2018): Wi-Fi 128 GB - Space Gray,5/16/2018
329.00,N/A,329.00,329.00,299.99,329.00,iPad (2018): Wi-Fi 32 GB - Gold,5/16/2018
329.00,N/A,329.00,329.00,299.99,329.00,iPad (2018): Wi-Fi 32 GB - Silver,5/16/2018
329.00,N/A,329.00,329.00,299.99,329.00,iPad (2018): Wi-Fi 32 GB - Space Gray,5/16/2018
519.00,N/A,529.00,519.00,529.99,529.00,iPad mini 4 Cellular Gold 128GB,5/16/2018
519.00,N/A,529.00,519.00,529.99,529.00,iPad mini 4 Cellular Silver 128GB,5/16/2018
519.00,N/A,529.00,519.00,529.99,N/A,iPad mini 4 Cellular Space Gray 128GB,5/16/2018
389.00,N/A,399.00,389.00,399.99,399.00,iPad mini 4 Wi-Fi Gold 128GB,5/16/2018
389.00,345.00,399.00,389.00,399.99,399.00,iPad mini 4 Wi-Fi Silver 128GB,5/16/2018
389.00,N/A,399.00,389.00,399.99,399.00,iPad mini 4 Wi-Fi Space Gray 128GB,5/16/2018
159.00,159.00,159.00,159.99,159.99,N/A,AirPods,5/16/2018
N/A,N/A,349.00,349.00,349.99,N/A,HomePod - Space Gray,5/16/2018
N/A,N/A,349.00,349.00,349.99,N/A,HomePod - White,5/16/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Gold",1299.00,N/A,1249.00,1319.99,1199.99,1149.00,#m/#d/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Rose Gold",1299.00,N/A,1249.00,1319.99,1199.99,1199.00,#m/#d/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Silver",1299.00,N/A,1199.00,1319.99,1199.99,1199.00,#m/#d/2018
"MacBook (Mid 2017): 1.2 GHz, 256 GB - Space Gray",1299.00,N/A,1229.00,1319.99,1199.99,1149.00,#m/#d/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Gold",1599.00,N/A,1549.00,N/A,1499.99,1479.00,#m/#d/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Rose Gold",1599.00,N/A,1509.00,1619.99,1499.99,1499.00,#m/#d/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Silver",1599.00,N/A,1549.00,1619.99,1499.99,1399.00,#m/#d/2018
"MacBook (Mid 2017): 1.3 GHz, 512 GB - Space Gray",1599.00,1541.03,1549.00,1619.99,1499.99,1479.00,#m/#d/2018
"13-inch MacBook Air (Mid 2017): 1.8 GHz, 128 GB",999.00,N/A,899.00,999.00,899.99,829.00,#m/#d/2018
"13-inch MacBook Air (Mid 2017): 1.8 GHz, 256 GB",1199.00,N/A,1149.00,1149.00,1099.99,999.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Silver",1299.00,N/A,1199.00,1279.00,1199.99,1199.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 128 GB SSD - Space Gray",1299.00,N/A,1199.00,N/A,1199.99,1099.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",1499.00,N/A,1449.00,1494.00,1399.99,1399.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1499.00,N/A,1399.00,1449.00,1399.99,1349.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Silver",1799.00,N/A,1649.00,1799.99,1599.99,N/A,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1799.00,1589.99,1549.00,1729.00,1599.99,N/A,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Silver",1999.00,N/A,1799.00,1999.99,1799.99,N/A,#m/#d/2018
"13-inch MacBook Pro (Mid 2017): 3.1 GHz, 8 GB RAM, 512 GB SSD - Space Gray",1999.00,1879.00,1899.00,N/A,1799.99,1599.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 256 GB SSD - Silver",1799.00,N/A,1699.00,1729.00,1699.99,1699.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 256 GB SSD - Space Gray",1799.00,N/A,1699.00,N/A,1699.99,1699.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 512 GB SSD - Silver",1999.00,N/A,1899.00,N/A,1899.99,1899.00,#m/#d/2018
"13-inch MacBook Pro (Mid 2018): 2.3 GHz, 8 GB RAM, 512 GB SSD - Space Gray",1999.00,N/A,1899.00,1929.00,1899.99,1899.00,#m/#d/2018
"15-inch MacBook Pro (Mid 2015): 2.2 GHz, 16 GB RAM, 256 GB",1999.00,N/A,N/A,1899.00,1699.99,N/A,#m/#d/2018
"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Silver",2399.00,N/A,2349.00,N/A,2099.99,N/A,#m/#d/2018
"15-inch MacBook Pro (Mid 2017): 2.8 GHz, 16 GB RAM, 256 GB SSD - Space Gray",2399.00,N/A,2349.00,2349.99,2099.99,N/A,#m/#d/2018
"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Silver",2799.00,2498.90,2599.00,2739.99,2499.99,2499.00,#m/#d/2018
"15-inch MacBook Pro (Mid 2017): 2.9 GHz, 16 GB RAM, 512 GB SSD - Space Gray",2799.00,N/A,2499.00,N/A,2499.99,2499.00,#m/#d/2018
"15-inch MacBook Pro (Mid 2018): 2.2 GHz, 16 GB RAM, 256 GB SSD - Silver",2399.00,N/A,2249.00,N/A,2299.99,2249.00,#m/#d/2018
"15-inch MacBook Pro (Mid 2018): 2.2 GHz, 16 GB RAM, 256 GB SSD - Space Gray",2399.00,N/A,2249.00,N/A,2299.99,2249.00,#m/#d/2018
"15-inch MacBook Pro (Mid 2018): 2.6 GHz, 16 GB RAM, 512 GB SSD - Silver",2799.00,N/A,2649.00,N/A,2699.99,2649.00,#m/#d/2018
"15-inch MacBook Pro (Mid 2018): 2.6 GHz, 16 GB RAM, 512 GB SSD - Space Gray",2799.00,N/A,2649.00,2649.00,2699.99,2649.00,#m/#d/2018
"21.5-inch iMac (Mid 2017): 2.3 GHz, 8 GB RAM, 1 TB",1099.00,1089.00,999.00,1094.00,1099.99,949.00,#m/#d/2018
"21.5-inch Retina iMac (Mid 2017): 3.0 GHz, 8 GB RAM, 1 TB",1299.00,1279.00,1249.00,1249.00,1299.99,1149.00,#m/#d/2018
"21.5-inch Retina iMac (Mid 2017): 3.4 GHz, 8 GB RAM, 1 TB Fusion",1499.00,1479.00,1419.00,1494.00,1499.99,1349.00,#m/#d/2018
"27-inch Retina iMac (Mid 2017): 3.4 GHz, 8 GB RAM, 1 TB Fusion",1799.00,1749.00,1649.00,1849.00,1799.99,1649.00,#m/#d/2018
"27-inch Retina iMac (Mid 2017): 3.5 GHz, 8 GB RAM, 1 TB Fusion",1999.00,N/A,1949.00,1969.00,1999.99,1799.00,#m/#d/2018
"27-inch Retina iMac (Mid 2017): 3.8 GHz, 8 GB RAM, 2 TB Fusion",2299.00,2279.00,2199.00,2329.99,2299.99,2099.00,#m/#d/2018
"iMac Pro (Late 2017): 3.2 GHz 8-Core, Vega 56 GPU, 32 GB RAM, 1 TB SSD",4999.00,4899.00,4699.00,N/A,4999.99,4599.00,#m/#d/2018
"Mac mini (Late 2014): 1.4 GHz, 4 GB RAM, 500 GB",499.00,N/A,479.00,494.00,499.99,399.00,#m/#d/2018
"Mac mini (Late 2014): 2.6 GHz, 8 GB RAM, 1 TB",699.00,N/A,679.00,679.00,699.99,599.00,#m/#d/2018
"Mac mini (Late 2014): 2.8 GHz, 8 GB RAM, 1 TB Fusion",999.00,969.00,949.00,N/A,N/A,919.00,#m/#d/2018
"Mac Pro (Late 2013): 3.0 GHz 8-Core, 16 GB RAM, 256 GB",3999.00,3899.00,3899.00,N/A,3999.99,3899.00,#m/#d/2018
"Mac Pro (Late 2013): 3.5 GHz 6-Core, 16 GB RAM, 256 GB",2999.00,N/A,2899.00,N/A,2799.99,2799.00,#m/#d/2018
Apple TV (4th Gen): 32 GB,149.00,N/A,N/A,N/A,149.99,N/A,#m/#d/2018
Apple TV 4K (2017): 32 GB,179.00,N/A,179.00,169.99,179.99,169.99,#m/#d/2018
Apple TV 4K (2017): 64 GB,199.00,N/A,189.00,189.00,199.99,189.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Gold",929.00,N/A,929.00,899.00,929.99,899.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Rose Gold",929.00,N/A,929.00,929.00,929.99,929.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Silver",929.00,N/A,929.00,958.99,929.99,899.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 256 GB - Space Gray",929.00,N/A,899.00,939.00,929.99,899.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Gold",1129.00,N/A,1129.00,1124.00,1129.99,929.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Rose Gold",1129.00,N/A,1129.00,1124.00,1129.99,929.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Silver",1129.00,N/A,1129.00,1124.00,1129.99,1029.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 512 GB - Space Gray",1129.00,N/A,1129.00,1124.00,1129.99,1129.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Gold",779.00,N/A,779.00,774.00,779.99,779.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Rose Gold",779.00,N/A,779.00,803.99,779.99,719.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Silver",779.00,N/A,779.00,774.00,779.99,729.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Cellular, 64 GB - Space Gray",779.00,N/A,779.00,774.00,779.99,774.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Gold",799.00,N/A,799.00,769.00,799.99,769.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Rose Gold",799.00,N/A,799.00,824.99,799.99,779.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Silver",799.00,N/A,799.00,807.99,799.99,749.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 256 GB - Space Gray",799.00,N/A,799.00,794.00,799.99,769.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Gold",999.00,N/A,899.00,949.00,999.99,849.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Rose Gold",999.00,N/A,999.00,994.00,999.99,929.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Silver",999.00,N/A,999.00,949.00,999.99,949.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 512 GB - Space Gray",999.00,N/A,999.00,969.00,999.99,969.00,#m/#d/2018
"10.5-inch iPad Pro (2017): Wi-Fi, 64 GB - Gold",649.00,N/A,649.00,644.00,649.99,629.00,#m/#d/2018
